fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity	i
Speaker6.txt	0.608170628	-0.475124963	-1.497798344	-1.311314584	0.972024276	-1.719547096	-0.517268954	-0.466551483	-0.316227766	0.659910115	-0.548067413	-0.873053261	0.877788349	NA	-0.316227766	1.40118626	-0.925102202	-0.862305361	1.233316399	1.078129271	6.25	0.366333418	-0.231853796	3
Speaker6.txt	0.300994635	0.523573272	0.093142611	0.591365212	0.30321398	-0.224384491	-0.002708214	1.399654449	-0.316227766	-0.806810258	-0.019809666	0.412839139	-0.433849414	NA	-0.316227766	0.373433475	-0.436961338	0.505436535	0.829334907	0.862841404	2.25	-0.358308793	-0.326865585	4
Speaker6.txt	0.031355306	-0.739868723	-1.025237669	-1.090792743	1.725882082	-0.224384491	-0.381858233	-0.199950636	-0.316227766	0.308627164	-0.349970757	-0.534660524	0.575102711	NA	-0.316227766	1.134269881	-0.011182081	-0.715269278	-0.228835968	-0.47761409	0.25	-0.511114094	-0.421086824	5
Speaker6.txt	-0.480559411	-1.038749786	-0.627418043	-0.915770071	0.592147522	0.523196811	0.051456074	-0.599851907	-0.316227766	0.762557731	0.046222553	-0.331624882	0.272417074	NA	-0.316227766	-0.130464735	0.741458018	1.124979196	-0.374790571	-0.386781959	0.25	0.170631213	-0.283502694	6
Speaker6.txt	-0.916804512	-0.626470335	0.685432558	0.734701246	-1.38905132	0.523196811	1.026413265	-0.599851907	-0.316227766	0.616570011	1.036705829	0.818910423	-0.736535051	NA	-0.316227766	-1.889119378	0.969400448	-0.703782084	-1.28440051	-1.083299645	2.25	1.22825249	-0.118397882	7
Speaker6.txt	-0.431766909	0.212621377	0.921323434	-0.164747303	-0.056946644	0.523196811	0.484770381	-0.199950636	-0.316227766	0.201417432	0.508448081	0.412839139	-0.433849414	NA	-0.316227766	0.009229819	0.898437239	-0.899064382	-0.856962029	-0.960483348	6.25	0.995307169	-0.151619223	8
Speaker6.txt	-1.127036214	-0.270484641	1.604614171	2.063467333	-0.446238396	0.523196811	0.566016814	1.932856144	-0.316227766	-1.456911823	0.5744803	1.360338802	-1.341906326	NA	-0.316227766	0.201309829	0.939294844	-0.613416158	-0.280962612	-0.348496406	12.25	0.374372065	-0.386956406	9
Speaker6.txt	-0.98378687	-0.582491836	0.874675598	0.247093395	0.110710479	1.271389782	0.8639204	-0.333251059	2.846049894	-0.218297262	0.838609173	1.021946065	-1.039220689	NA	2.846049894	-1.390210259	0.709202014	-0.689231638	-1.245305527	-1.135305153	20.25	0.290756948	2.825737042	10
Speaker7.txt	-1.690169582	-1.643293372	-0.827534381	1.322556331	-1.857392999	-1.009851071	1.0339372	-1.454089044	0.316227766	1.571325475	1.023342343	0.032916061	-0.025174456	NA	0.316227766	-1.111785434	-0.713040025	-1.252247987	-1.401642633	-0.949792151	20.25	-1.298858654	-1.887724714	1
Speaker7.txt	0.233677968	0.635378871	0.863536719	1.08256123	1.691704883	-1.009879146	0.604285012	-0.643447068	0.316227766	0.412348857	0.5969497	0.307216573	-0.360833867	NA	0.316227766	-0.097793159	1.322770274	0.893138458	0.242932322	0.239174322	12.25	-0.348230603	-0.231671779	2
