fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker4.txt	3	0.406234024	0.358680868	0.882941473	3.472370555	0.001018612	1.362221069	1301	49	308.3	283.87	4.22	4.58	0.218	0	308.3	145.35	66.72	404.76	44.6	0.306845545	6.25	78.41467442	8.082378981
Speaker4.txt	4	0.359322011	0.367628168	1.023116195	3.325524125	9.19E-08	0.19460301	1267	61	308.3	277.88	4.11	4.56	0.219	0	308.3	150.75	68.42	429.83	49.15	0.326036484	2.25	78.83013996	8.304428382
Speaker4.txt	5	0.366381327	0.326380439	0.890821708	2.946229265	0.001942593	1.556824079	1211	69	308.3	268.17	3.93	4.52	0.221	0	308.3	146.2	70.37	415.29	45.13	0.308686731	0.25	78.41933933	8.419075787
Speaker4.txt	6	0.346798068	0.356093644	1.026804001	3.668280722	0.002146835	0.19460301	1225	63	308.3	275.61	3.97	4.44	0.225	0	308.3	149.04	63.6	427.87	49.11	0.329508857	0.25	78.19462995	8.161197194
Speaker4.txt	7	0.425237443	0.341727994	0.803616897	2.981270629	0.021081232	0.778412039	1218	72	308.3	271.02	3.95	4.49	0.223	0	308.3	143.93	69.48	423.23	47.93	0.333009102	2.25	77.90598725	8.294953538
Speaker4.txt	8	0.400853424	0.330222283	0.823798084	3.720618363	0.005466343	1.946030099	1195	67	308.3	274.44	3.88	4.35	0.23	0	308.3	146.84	67.72	420.43	52.28	0.356033778	6.25	77.47291166	8.027125259
Speaker4.txt	9	0.354845384	0.346148926	0.975492262	3.132978427	0.001351225	1.556824079	1176	73	308.3	268.97	3.81	4.37	0.229	0	308.3	148.17	70.02	423.91	52.04	0.351218195	12.25	77.51777562	8.139213221
Speaker4.txt	10	0.366122844	0.30713879	0.838895455	2.813359397	0.009100935	1.55702608	1254	57	307.91	277.6	4.07	4.52	0.221	0	307.913061	157.59	66.57	420.62	54.55	0.346151406	20.25	77.69198655	7.987754489
Speaker5.txt	1	0.161703781	0.227225868	1.405198238	6.255951183	0.002834781	1.397205589	934	94	300.5	238.47	3.11	3.92	0.255	0	300.5	170.66	67.34	417.97	56.96	0.333763038	20.25	76.18979511	7.900448298
Speaker5.txt	2	0.259548352	0.287106662	1.106177945	5.613174966	0.001536521	1.796168175	997	102	300.5	223.67	3.32	4.46	0.224	0	300.5	183.74	67.76	421.91	58.03	0.315826712	12.25	76.82168986	8.688785934
